20250326	01:16:32	3f3931a0-2c54-4d89-86ae-790b2feff3cf	GET	undefined	/employees
20250326	01:18:37	c16d2328-4844-49c3-a496-7cb4e3355863	POST	undefined	/employees
20250326	01:43:34	76b4c3cb-7c2d-49f9-8dd5-0ddbf0cf1b01	POST	undefined	/auth
20250326	01:45:17	1236dcaa-86cb-4720-9c20-9014fbee6209	POST	undefined	/refresh
20250326	01:45:32	8fa555b6-cb5a-433a-8504-b7cb08c354bc	POST	undefined	/auth
20250326	01:47:02	f839817c-fd03-49a1-b5b6-9dc82a497645	POST	undefined	/auth
20250326	01:47:46	f1eabd6c-d18d-4f07-97ec-a670deab6c62	POST	undefined	/refresh
20250326	01:51:48	de993ce4-a3dd-48ec-a88b-0a5bade261d1	POST	undefined	/register
20250326	01:52:11	5fa2c7a6-a699-48e5-ab5b-426a73364ddc	POST	undefined	/register
20250326	01:53:24	adc35c35-2a8e-4617-877b-edc09b3c4523	POST	undefined	/register
20250326	01:54:02	4d3304e6-4c7c-4a95-9ad1-6f562f524fec	POST	undefined	/register
20250326	01:54:14	dd0464d8-8f38-42a0-afc9-99bf7c492229	POST	undefined	/auth
20250326	01:54:33	bef017c9-8fe1-4683-8751-1bda4fbe161f	POST	undefined	/refresh
20250326	01:58:00	19cd7559-732c-4c60-9ac8-22206a964b1f	POST	undefined	/auth
20250326	01:58:07	af499edb-ed34-4130-8f25-386c1ee28934	POST	undefined	/refresh
20250326	01:59:31	0772fd6f-0adf-4221-b265-64c7103c2fed	POST	undefined	/auth
20250326	01:59:37	d884175e-21ce-445c-8234-99a73bb5528b	POST	undefined	/refresh
20250326	02:01:25	b29b358b-0144-45e0-9bf7-30120f8af2a8	POST	undefined	/auth
20250326	02:01:48	df6046ec-5961-4521-a28f-3dccf01d1419	POST	undefined	/refresh
20250326	02:03:42	f64399a5-96eb-40e1-b8d5-1ae2b2da52d2	POST	undefined	/auth
20250326	02:03:53	1127a6ef-e148-49b6-82b1-b6897e4eab63	POST	undefined	/refresh
